iatiidentifier,donor_ref,donor,org_type,x1_donor_type,a01,a02,modality,declared_activity,declared_transaction,status_code,status_name,recipient_main,commitment_usd,disbursement_usd,n_disb_years,first_disb_year,last_disb_year,planned_start,actual_start,planned_end,actual_end,y2_early_days,planned_duration_days,budget_orig,n_budget_lines,budget_ccy,commitment_usd_full,disbursement_usd_full,n_disb_years_full,finance_type,finance_type_name,flow_type,flow_type_name,tied_status,collaboration_type,collaboration_type_name,hierarchy,cp_eligible,complete_flag,y1_gap,y1_gap_full
46002-P-SO-K00-003,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SO,120693185.71697856,116830724.28116362,1,2020,2020,2020-02-26,2020-03-02,2021-06-30,2020-08-31,303,490,NA,NA,NA,120693185.71697856,116830724.28116362,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0.03200231573033696,0.03200231573033696
46002-P-SO-AA0-009,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SO,5424412.841212519,102060.84292663349,1,2022,2023,2022-07-15,2022-08-01,2026-12-31,NA,NA,1630,NA,NA,NA,5424412.841212519,3518440.223648542,4,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,0.981184905,0.3513693874999999
46002-P-SO-KF0-015,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SO,13561032.1030313,0,0,NA,NA,2023-10-02,2023-11-30,2027-12-31,NA,NA,1551,NA,NA,NA,13561032.1030313,5700485.905336161,3,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,1,0.5796421790003778
46002-P-SO-E00-009,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SO,NA,NA,NA,NA,NA,2024-12-18,2025-02-15,2026-12-31,NA,NA,743,NA,NA,NA,7236036.205243509,5671097.670621516,2,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,NA,0.21627013605708312
46002-P-SO-E00-005,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SO,NA,NA,NA,NA,NA,2026-01-28,2026-02-26,2029-12-31,NA,NA,1433,NA,NA,NA,24206442.30391087,7261932.691173261,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,NA,0.7
46002-P-SL-KA0-017,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SL,24409857.785456337,24409857.785456337,1,2020,2020,2020-07-24,2020-08-04,2021-12-31,2021-12-31,0,525,NA,NA,NA,24409857.785456337,24409857.785456337,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0,0
46002-P-SL-KA0-016,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SL,20341548.15454695,20341548.15454695,1,2019,2019,2019-03-14,2019-04-29,2021-02-28,2021-02-28,0,717,NA,NA,NA,20341548.15454695,20341548.15454695,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0,0
46002-P-SL-KA0-005,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SL,NA,NA,NA,NA,NA,2003-12-10,2004-01-21,2007-12-31,2007-12-31,0,1482,NA,NA,NA,23415480.447025865,22080114.753453657,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,NA,0.05702918189499806
46002-P-SL-KA0-013,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SL,5424412.841212519,5424412.841212519,1,2014,2014,2014-05-05,2014-05-22,2015-12-31,2014-12-31,365,605,NA,NA,NA,5424412.841212519,5424412.841212519,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0,0
46002-P-SL-AA0-023,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SL,2034154.815454695,2034154.815454695,1,2022,2022,2022-07-15,2022-08-18,2024-06-30,2025-01-29,-213,716,NA,NA,NA,2034154.815454695,2034154.815454695,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,1,0,0
46002-P-SL-KF0-013,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SL,1356103.21030313,251473.16203941652,1,2023,2023,2023-04-05,2023-07-05,2027-04-30,NA,NA,1486,NA,NA,NA,1356103.21030313,734926.7365240634,4,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,0.81456193,0.4580598800000001
46002-P-ZA-K00-005,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,ZA,305242621.42887175,291483181.5401807,1,2020,2020,2020-07-22,2020-09-09,2021-06-30,2021-06-30,0,343,NA,NA,NA,305242621.42887175,291483181.5401807,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0.04507705976407139,0.04507705976407139
46002-P-ZA-K00-006,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,ZA,299936569.1944883,304300090.57413346,1,2023,2023,2023-10-25,2023-11-17,2024-12-31,2026-02-16,-412,433,NA,NA,NA,299936569.1944883,304300090.57413346,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,1,-0.014548147267816836,-0.014548147267816836
46002-P-ZA-F00-013,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,ZA,NA,NA,NA,NA,NA,2025-06-27,2025-07-24,2025-11-30,NA,NA,156,NA,NA,NA,474539644.0093463,468580434.27849215,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,NA,0.012557875419017206
46002-P-SS-I00-006,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SS,1356103.21030313,1356103.2103031299,1,2020,2022,2020-04-03,2020-05-21,2023-05-05,2023-03-07,59,1127,NA,NA,NA,1356103.21030313,1356103.21030313,2,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,2.220446049250313e-16,0
46002-P-SS-I00-003,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,SS,17425926.25239522,17425926.252395216,1,2019,2023,2019-09-05,2019-09-26,2025-12-31,2026-02-05,-36,2309,NA,NA,NA,17425926.25239522,17425926.25239522,3,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,0,1,2.220446049250313e-16,0
46002-P-SS-AAZ-001,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,13561032.1030313,8136619.26181878,1,2021,2023,2020-12-18,2021-02-03,2026-12-31,NA,NA,2204,NA,NA,NA,13561032.1030313,11311256.877138406,4,110,Standard grant,10,ODA,5,2,Multilateral (inflows),1,0,0,0.4,0.16590000000000005
46002-P-SS-I00-009,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,2034154.815454695,1627323.852363756,1,2022,2023,2021-11-23,2022-02-03,2027-06-30,NA,NA,2045,NA,NA,NA,2034154.815454695,2034154.815454695,3,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,0.19999999999999996,0
46002-P-SS-I00-008,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,7322957.335636902,4393774.401382141,1,2022,2023,2021-12-03,2022-02-03,2027-06-30,NA,NA,2035,NA,NA,NA,7322957.335636902,7322957.335636902,4,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,0.4,0
46002-P-SS-A00-001,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,SS,8136619.26181878,7322957.335636902,1,2022,2023,2022-07-15,2022-08-29,2023-06-29,2025-06-29,-731,349,NA,NA,NA,8136619.26181878,8136619.26181878,3,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,1,0.09999999999999998,0
46002-P-SS-A00-002,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,5831243.804303459,2332497.5217213836,1,2023,2023,2023-04-18,2023-06-05,2027-12-31,NA,NA,1718,NA,NA,NA,5831243.804303459,4664995.043442767,2,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,0.6,0.19999999999999996
46002-P-SS-I00-005,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,NA,NA,NA,NA,NA,2023-11-02,2024-06-21,2027-06-11,NA,NA,1317,NA,NA,NA,9492722.47212191,4271725.11245486,2,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,NA,0.5499999999999999
46002-P-SS-I00-010,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,NA,NA,NA,NA,NA,2024-09-25,2024-12-18,2028-12-31,NA,NA,1558,NA,NA,NA,10848825.68242504,1084882.568242504,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,NA,0.9
46002-P-SS-I00-011,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,NA,NA,NA,NA,NA,2024-09-25,2025-03-19,2027-12-31,NA,NA,1192,NA,NA,NA,1643759.82327263,574554.0386787758,2,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,NA,0.6504635102135103
46002-P-SS-I00-014,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,NA,NA,NA,NA,NA,2024-09-25,2025-03-19,2027-12-31,NA,NA,1192,NA,NA,NA,19519668.242910635,5855900.47287319,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,NA,0.7
46002-P-SN-KA0-014,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,72027101.07172838,68472355.14444534,1,2019,2019,2019-11-21,2019-11-25,2021-12-31,2020-12-31,365,771,NA,NA,NA,72027101.07172838,68472355.14444534,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0.04935289459648018,0.04935289459648018
46002-P-SN-KA0-016,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,SN,74908185.11351264,72060577.41518593,1,2021,2021,2021-06-30,2021-08-03,2022-12-31,NA,NA,549,NA,NA,NA,74908185.11351264,72060577.41518593,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,0,0.0380146401092426,0.0380146401092426
46002-P-SN-KA0-009,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,47165269.65434286,47165269.65434286,1,2016,2016,2016-09-14,2016-10-19,2017-12-31,2016-12-31,365,473,NA,NA,NA,47165269.65434286,47165269.65434286,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0,0
46002-P-SN-K00-005,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,NA,NA,NA,NA,NA,2008-12-22,2008-12-22,2010-12-31,2010-12-31,0,739,NA,NA,NA,40683096.3090939,39671934.25069196,2,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,NA,0.024854599333333338
46002-P-SN-K00-006,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,NA,NA,NA,NA,NA,2011-07-06,2011-07-27,2013-09-30,2013-09-30,0,817,NA,NA,NA,36614786.67818451,37293291.94054301,2,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,NA,-0.018530908518518352
46002-P-SN-K00-008,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,NA,NA,NA,NA,NA,2013-06-19,2013-07-25,2015-12-31,2014-12-31,365,925,NA,NA,NA,34634875.99114194,34634875.99114194,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,NA,0
46002-P-SN-KA0-005,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,NA,NA,NA,NA,NA,2003-12-10,2004-01-16,2007-12-31,2007-09-30,92,1482,NA,NA,NA,52862685.72172491,31539907.242540415,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,NA,0.403361618655359
46002-P-SN-K00-013,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,101414158.31420098,97539847.83165877,1,2020,2020,2020-05-29,2020-06-04,2021-12-31,2021-06-30,184,581,NA,NA,NA,101414158.31420098,97539847.83165877,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0.03820285596157924,0.03820285596157924
46002-P-SN-BG0-001,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SN,124309902.71315569,29123081.975082956,1,2022,2022,2021-11-26,2022-02-24,2028-06-30,NA,NA,2408,NA,NA,NA,124309902.7131557,54857991.51621833,3,NA,NA,10,ODA,5,2,Multilateral (inflows),1,0,0,0.7657219470094487,0.558699747012088
46002-P-SN-A00-022,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,139383388.6985071,131909720.19522461,1,2022,2023,2022-07-08,2022-08-10,2024-06-30,2025-02-02,-217,723,NA,NA,NA,139383388.6985071,131909720.1952246,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,1,0.05361950640652302,0.05361950640652313
46002-P-SN-KA0-018,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,79086688.97908483,69181622.75378455,1,2023,2023,2022-11-30,2023-02-07,2025-12-30,2025-09-25,96,1126,NA,NA,NA,79086688.97908483,69181622.75378455,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,1,0.12524315220630566,0.12524315220630566
46002-P-SN-KA0-019,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,85641605.49059069,0,0,NA,NA,2023-12-01,2023-12-13,2024-06-30,2026-01-08,-557,212,NA,NA,NA,85641605.49059069,82883594.79907298,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,1,1,0.03220409841360028
DE-1-201265743,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",10,Bilateral,0,1,A02_sector,1,0,4,Closed,PE,17091000,17091000,1,2015,2015,2015-05-26,2015-05-26,2015-12-31,2015-12-31,0,219,NA,NA,NA,17091000,17091000,1,421,Standard loan,10,ODA,3,1,Bilateral,1,0,1,0,0
DE-1-201265750,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",10,Bilateral,0,1,A02_sector,1,0,4,Closed,PE,34182000,34182000,1,2014,2015,2014-11-07,2014-11-07,2016-04-04,2016-04-04,0,514,NA,NA,NA,34182000,34182000,2,421,Standard loan,10,ODA,3,1,Bilateral,1,0,1,0,0
DE-1-201266287,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",10,Bilateral,0,1,A02_sector,1,0,4,Closed,PE,17091000,17091000,1,2017,2018,2017-12-28,2017-12-28,2018-07-30,2018-07-30,0,214,NA,NA,NA,17091000,17091000,1,421,Standard loan,10,ODA,3,1,Bilateral,1,0,1,0,0
46002-P-SD-KF0-006,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SD,391513866.37230194,195278862.2836507,1,2021,2021,2021-04-23,2021-05-05,2022-12-31,2022-12-31,0,617,NA,NA,NA,391513866.3723019,195278862.2836507,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0.5012210829387219,0.5012210829387218
46002-P-SD-K00-007,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SD,27122064.2060626,1005226.7472372788,1,2021,2021,2020-11-18,2021-02-10,2021-12-31,2021-12-31,0,408,NA,NA,NA,27122064.2060626,1005226.7472372788,1,110,Standard grant,10,ODA,5,2,Multilateral (inflows),1,1,1,0.962936938,0.962936938
46002-P-SD-AAB-005,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,SD,76999540.28101172,46199724.168607034,1,2023,2023,2022-12-09,2023-02-03,2025-12-31,2026-07-14,-195,1118,NA,NA,NA,76999540.28101172,76999540.28101172,2,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,1,0.3999999999999999,0
46002-P-SD-I00-010,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SD,NA,NA,NA,NA,NA,2025-03-26,2025-05-26,2028-04-30,NA,NA,1131,NA,NA,NA,20341548.15454695,20341548.154546943,2,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,NA,3.3306690738754696e-16
46002-P-SD-AA0-009,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SD,NA,NA,NA,NA,NA,2025-06-27,2025-08-04,2029-05-31,NA,NA,1434,NA,NA,NA,97639431.14182536,39055772.45673014,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,NA,0.6000000000000001
46002-P-SD-I00-008,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SD,NA,NA,NA,NA,NA,2025-07-11,2025-10-07,2028-02-29,NA,NA,963,NA,NA,NA,62136649.09608941,15540942.790073868,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,NA,0.749890877346137
46002-P-SZ-K00-005,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SZ,35679102.21899169,36397295.102975704,1,2022,2022,2021-11-24,2022-04-05,2023-03-07,2023-06-30,-115,468,NA,NA,NA,35679102.21899169,36397295.102975704,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,1,-0.020129230819090793,-0.020129230819090793
46002-P-SZ-AA0-013,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SZ,39643446.91601789,41255307.421817265,1,2022,2022,2022-07-14,2022-10-20,2023-08-01,2025-01-28,-546,383,NA,NA,NA,39643446.91601789,41255307.421817265,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,1,-0.04065893940085474,-0.04065893940085474
46002-P-SZ-K00-008,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,SZ,NA,NA,NA,NA,NA,2025-06-25,2025-11-13,2027-04-30,NA,NA,674,NA,NA,NA,46855039.37445672,47262770.4510535,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,0,NA,-0.008701968497737633
46002-P-TG-KA0-002,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,TG,12923663.594188828,12923663.594188828,1,2017,2018,2017-12-05,2017-12-21,2018-12-31,2018-06-30,184,391,NA,NA,NA,12923663.594188828,12923663.594188828,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0,0
46002-P-TG-KZ0-002,XM-DAC-46002,African Development Bank,40,Multilateral,1,1,both,0,1,3,Finalisation,TG,27122064.206062596,27122064.206062596,1,2020,2020,2020-07-24,2020-08-06,2021-06-30,2021-06-30,0,341,NA,NA,NA,27122064.206062596,27122064.206062596,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,0,1,0,0
46002-P-TG-AA0-015,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,TG,5424412.841212519,5424412.841212519,1,2022,2023,2022-07-15,2022-08-17,2025-12-31,2025-06-24,190,1265,NA,NA,NA,5424412.841212519,5424412.841212519,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,1,0,0
46002-P-TG-KA0-004,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,TG,NA,NA,NA,NA,NA,2024-07-04,2024-08-02,2025-12-31,NA,NA,545,NA,NA,NA,6780516.051515649,6780516.051515649,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,0,NA,0
46002-P-TZ-K00-016,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,TZ,48819715.570912674,48819715.570912674,1,2020,2021,2020-10-14,2020-12-08,2021-12-31,2021-12-31,0,443,NA,NA,NA,48819715.570912674,48819715.570912674,2,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0,0
